specimen_specie,leaf_id,lat,lon,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,environment_rh,environment_temp,leaf_orientation,leaf_par,leaf_sun_exposure,leaf_appearance,notes
Tilia tomentosa,TT02,53.3128333333333,-6.26072222222222,2022-08-13,13:20:27,95.6,27.1,LPS2225,2203604,35.1,16.6,60.3,24.8,W,52.0,Sun flecks,Honeydew,"Moved leaf horizontally, breezy"
Tilia tomentosa,TT02,53.3128333333333,-6.26072222222222,2022-08-14,13:09:01,67.7,26.3,LPS2225,2203705,30.4,15,62,24,W,62.0,Overcast,Honeydew,Moved leaf slightly horizontally
Tilia tomentosa,TT03,53.3128333333333,-6.26072222222222,2022-08-12,13:22:30,74.6,26.5,LPS2225,2303604,30.7,14.4,42,37,SW,300.0,Sun flecks,Honeydew,"Moved leaf horizontally, moved a lot"
Tilia tomentosa,TT03,53.3128333333333,-6.26072222222222,2022-08-13,13:22:37,78.9,26.9,LPS2225,2203604,31.9,15.3,60.3,24.8,SW,400.0,Sun flecks,Honeydew,Not moved but breezy
Tilia tomentosa,TT03,53.3128333333333,-6.26072222222222,2022-08-14,13:11:10,207.9,26,LPS2225,2203705,49.2,23.6,62,24,SW,79.0,Overcast,Honeydew,Moved leaf slightly horizontally
Phoenix dactylifera,PD01,53.3128055555556,-6.26088888888889,2022-08-12,11:48:25,55.5,29.7,LPS2225,2303604,25.8,12.2,52.4,34.8,E,420.0,Full sun,Healthy,"Clamped 2 leaflets togther and moved horizontally,Measured terminal leaflet of frond"
Phoenix dactylifera,PD01,53.3128055555556,-6.26088888888889,2022-08-13,11:34:52,45,31.2,LPS2225,2203604,22.7,10.9,46.1,34.9,E,1580.0,Full sun,Healthy,Clamped leaves togther and moved horizontally
Phoenix dactylifera,PD01,53.3128055555556,-6.26088888888889,2022-08-14,11:49:47,28.1,29.4,LPS2225,2203705,17,8.4,37.2,34.3,E,320.0,Full sun,Healthy,The leaf ID tag had to be adjusted and so moved leaves on top of clamping.
Phoenix dactylifera,PD02,53.3128055555556,-6.26088888888889,2022-08-12,11:52:04,37.9,31.5,LPS2225,2303604,20,9.5,52.4,34.8,E,1780.0,Full sun,Healthy,Clamped 2 leaflets togther and moved horizontally
Phoenix dactylifera,PD02,53.3128055555556,-6.26088888888889,2022-08-13,11:38:47,90.3,31.1,LPS2225,2203604,34,16.2,46.1,34.9,E,1520.0,Full sun,Healthy,Clamped leaves togther and moved horizontally
Phoenix dactylifera,PD02,53.3128055555556,-6.26088888888889,2022-08-14,11:54:04,65,29.5,LPS2225,2203705,29.1,14,37.2,34.3,E,990.0,Full sun,Healthy,Clamped leaves togther and moved horizontally
Phoenix dactylifera,PD03,53.3128055555556,-6.26088888888889,2022-08-12,11:54:01,64.1,31.7,LPS2225,2303604,27.8,13,52.4,34.8,NE,740.0,Full sun,Healthy,Clamped 2 leaflets togther and moved horizontally
Phoenix dactylifera,PD03,53.3128055555556,-6.26088888888889,2022-08-13,11:40:51,52.7,31.4,LPS2225,2203604,25.5,12.6,46.1,34.9,NE,700.0,Sun flecks,Healthy,Clamped leaves togther and moved horizontally
Phoenix dactylifera,PD03,53.3128055555556,-6.26088888888889,2022-08-14,11:56:25,57.8,29.7,LPS2225,2203705,27.6,13.6,37.2,34.3,NE,750.0,Sun flecks,Healthy,Moved leaf horizontally
Clethra arborea,CAR01,53.3128333333333,-6.26088888888889,2022-08-12,11:56:15,30.7,30.9,LPS2225,2303604,16.2,7.1,49,29.4,SW,1500.0,Full sun,Young plant and stressed,Moved leaf slightly horizontally
Clethra arborea,CAR01,53.3128333333333,-6.26088888888889,2022-08-13,11:42:45,40.1,32,LPS2225,2203604,19.6,8.5,52.2,30.8,SW,1050.0,Full sun,Young plant and stressed,"Moved leaf horizontally,Plant is drooping."
Clethra arborea,CAR01,53.3128333333333,-6.26088888888889,2022-08-14,11:58:59,44.2,30.1,LPS2225,2203705,21.9,9.9,51.5,31.4,SW,220.0,Sun flecks,Young plant and stressed,"Moved leaf horizontally,Poromter was labelled as CA need to change this."
Clethra arborea,CAR02,53.3128333333333,-6.26088888888889,2022-08-12,11:59:11,22.7,30.2,LPS2225,2303604,12.8,5.6,49,29.4,SE,1630.0,Full sun,Young plant and stressed,Moved leaf horizontally
Clethra arborea,CAR02,53.3128333333333,-6.26088888888889,2022-08-13,11:45:07,26.3,32,LPS2225,2203604,14.4,6.2,52.2,30.8,SE,400.0,Sun flecks,Young plant and stressed,Moved leaf horizontally
Clethra arborea,CAR02,53.3128333333333,-6.26088888888889,2022-08-14,12:01:53,27.4,30.2,LPS2225,2203705,16,7.4,51.5,31.4,SE,1100.0,Full sun,Young plant and stressed,Moved leaf horizontally
Clethra arborea,CAR03,53.3128333333333,-6.26088888888889,2022-08-12,12:01:34,25.3,30.5,LPS2225,2303604,13.8,5.9,49,29.4,E,1600.0,Full sun,Young plant and stressed,Moved leaf horizontally
Clethra arborea,CAR03,53.3128333333333,-6.26088888888889,2022-08-13,11:46:48,33.2,31.9,LPS2225,2203604,17,7.3,52.2,30.8,E,1320.0,Full sun,Young plant and stressed,Moved leaf horizontally
Clethra arborea,CAR03,53.3128333333333,-6.26088888888889,2022-08-14,12:04:40,31.3,29.9,LPS2225,2203705,16.9,7.4,51.5,31.4,E,960.0,Full sun,Young plant and stressed,Moved leaf horizontally
Ostrya carpinifolia,OC01,53.3129722222222,-6.26105555555556,2022-08-12,12:07:13,138.7,30.1,LPS2225,2303604,42.1,20.6,48.6,28.8,NW,38.0,Sun flecks,Healthy,Moved leaf horizontally
Ostrya carpinifolia,OC01,53.3129722222222,-6.26105555555556,2022-08-13,11:56:17,130,29,LPS2225,2203604,40.5,19.4,63,24.2,NW,32.0,Sun flecks,Healthy,"Not moved but breezy,Readings were rebegun at 12:12. Had to wait for the sun to arrive."
Ostrya carpinifolia,OC01,53.3129722222222,-6.26105555555556,2022-08-14,12:07:40,119.3,29.8,LPS2225,2203705,40.3,19.9,55.5,29.4,NW,47.0,Sun flecks,Healthy,Not moved
Ostrya carpinifolia,OC02,53.3129722222222,-6.26105555555556,2022-08-12,12:09:25,144.9,29.1,LPS2225,2303604,42.2,20.1,49.2,28.8,W,210.0,Sun flecks,Healthy,Moved leaf horizontally
Ostrya carpinifolia,OC02,53.3129722222222,-6.26105555555556,2022-08-13,12:08:39,149.7,26.8,LPS2225,2203604,43.1,20.6,63,24.2,W,46.0,Sun flecks,Healthy,Moved leaf horizontally
Ostrya carpinifolia,OC02,53.3129722222222,-6.26105555555556,2022-08-14,12:10:21,138.6,29,LPS2225,2203705,42.4,20.5,55.5,29.4,W,71.0,Sun flecks,Healthy,Not moved
Ostrya carpinifolia,OC03,53.3129722222222,-6.26105555555556,2022-08-12,12:11:03,148,28.5,LPS2225,2303604,43.1,20.9,49.2,28.8,NW,460.0,Full sun,Healthy,Moved leaf horizontally
Ostrya carpinifolia,OC03,53.3129722222222,-6.26105555555556,2022-08-13,12:10:26,118.5,26.4,LPS2225,2203604,38.9,18.6,63.1,24.2,NW,60.0,Sun flecks,Healthy,Moved leaf horizontally
Ostrya carpinifolia,OC03,53.3129722222222,-6.26105555555556,2022-08-14,12:14:00,121.4,28.1,LPS2225,2203705,39.6,18.7,55.5,29.4,NW,49.0,Sun flecks,Healthy,Moved leaf horizontally
Metasequoia glyptostroboides,MGL01,53.3129166666667,-6.26125,2022-08-12,12:18:11,59.4,26.7,LPS2225,2303604,27.1,12.9,52.7,27.7,SE,340.0,Sun flecks,Healthy,Clamped leaflets and moved horizontally
Metasequoia glyptostroboides,MGL01,53.3129166666667,-6.26125,2022-08-13,12:15:07,118.6,25.4,LPS2225,2203604,38.8,18.3,67.5,24.7,SE,290.0,Sun flecks,Healthy,"Clamped leaves togther and moved horizontally,Doubts on whether the sensor covered each leaf."
Metasequoia glyptostroboides,MGL01,53.3129166666667,-6.26125,2022-08-14,12:18:15,94.4,27.7,LPS2225,2203705,36,17.6,58.2,26.7,SE,50.0,Full shade,Healthy,"Clamped leaves togther and moved horizontally,Doubt if sensor was completely covered."
Metasequoia glyptostroboides,MGL02,53.3129166666667,-6.26125,2022-08-12,12:20:35,77.6,26.3,LPS2225,2303604,31.6,15,52.7,27.7,NW,38.0,Sun flecks,Healthy,Clamped leaflets and moved horizontally
Metasequoia glyptostroboides,MGL02,53.3129166666667,-6.26125,2022-08-13,12:18:09,82.4,25.3,LPS2225,2203604,33.2,16.2,67.5,24.7,NW,78.0,Sun flecks,Healthy,"Clamped leaves togther and moved horizontally, breezy"
Metasequoia glyptostroboides,MGL02,53.3129166666667,-6.26125,2022-08-14,12:20:48,59.4,27.4,LPS2225,2203705,27.9,13.6,58.2,26.7,NW,90.0,Full shade,Healthy,Clamped leaves togther and moved horizontally
Metasequoia glyptostroboides,MGL03,53.3129166666667,-6.26125,2022-08-12,12:22:59,73.5,25.7,LPS2225,2303604,30.8,14.8,52.7,27.7,NW,62.0,Sun flecks,Healthy,Clamped leaflets and moved horizontally
Metasequoia glyptostroboides,MGL03,53.3129166666667,-6.26125,2022-08-13,12:20:20,58.1,25.1,LPS2225,2203604,26.8,12.8,67.5,24.7,NW,44.0,Sun flecks,Healthy,Clamped leaves togther and moved horizontally
Metasequoia glyptostroboides,MGL03,53.3129166666667,-6.26125,2022-08-14,12:22:32,110.8,27.2,LPS2225,2203705,38.3,18.4,58.2,26.7,NW,79.0,Full shade,Healthy,Clamped leaves togther and moved horizontally
Sorbus hibernica,SH01,53.3129444444444,-6.26144444444444,2022-08-12,12:29:13,92.9,28.4,LPS2225,2303604,35.3,17.4,49.1,33.5,S,1200.0,Full sun,Healthy,Not moved
Sorbus hibernica,SH01,53.3129444444444,-6.26144444444444,2022-08-13,12:22:33,86.5,25.1,LPS2225,2203604,33.9,16.5,59.9,30.9,S,1280.0,Full sun,Healthy,Not moved but breezy
Sorbus hibernica,SH01,53.3129444444444,-6.26144444444444,2022-08-14,12:24:24,48.9,27.5,LPS2225,2203705,25.5,12.9,56.7,37,S,600.0,Full sun,Healthy,Moved leaf slightly horizontally
Sorbus hibernica,SH02,53.3129444444444,-6.26144444444444,2022-08-12,12:32:04,169.7,28.8,LPS2225,2303604,45.7,22.4,49.1,34.2,SE,1100.0,Full sun,Healthy,Moved leaf slightly horizontally
Sorbus hibernica,SH02,53.3129444444444,-6.26144444444444,2022-08-13,12:24:36,171.3,26,LPS2225,2203604,45.7,22.1,59.9,30.9,SE,120.0,Sun flecks,Healthy,Not moved
Sorbus hibernica,SH02,53.3129444444444,-6.26144444444444,2022-08-14,12:26:58,146.8,28,LPS2225,2203705,43.7,21.4,56.7,37,SE,900.0,Full sun but shaded by a branch,Healthy,Not moved
Sorbus hibernica,SH03,53.3129444444444,-6.26144444444444,2022-08-12,12:34:40,166.2,28.9,LPS2225,2303604,44.9,21.7,49.1,34.4,SE,500.0,Full sun,Healthy,Moved leaf slightly horizontally
Sorbus hibernica,SH03,53.3129444444444,-6.26144444444444,2022-08-13,12:26:35,182.3,26.3,LPS2225,2203604,46.8,22.8,59.9,30.9,SE,1050.0,Full sun,Healthy,Not moved
Sorbus hibernica,SH03,53.3129444444444,-6.26144444444444,2022-08-14,12:28:42,164.3,28.2,LPS2225,2203705,45.6,22.4,56.7,37.3,SE,400.0,Full sun but shaded by a branch,Healthy,Moved leaf horizontally
Carpinus betulus,CB01,53.3128888888889,-6.26252777777778,2022-08-12,12:39:56,241.8,27.9,LPS2225,2303604,50.9,24.3,39.6,34.1,SW,1350.0,Full sun,Reltively healthy,"Moved leaf horizontally,Entire tree appears stressed, spots on the leaves."
Carpinus betulus,CB01,53.3128888888889,-6.26252777777778,2022-08-13,12:31:40,186.6,26.4,LPS2225,2203604,46.8,22.4,57,37.1,SW,500.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB01,53.3128888888889,-6.26252777777778,2022-08-14,12:39:39,217.7,28.3,LPS2225,2203705,50,24.2,60.3,32.2,SW,900.0,Full sun,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB02,53.3128888888889,-6.26252777777778,2022-08-12,12:43:31,188.8,27.4,LPS2225,2303604,46.5,21.7,39.6,34.1,S,980.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB02,53.3128888888889,-6.26252777777778,2022-08-13,12:34:53,143.1,26.3,LPS2225,2203604,42.5,20.5,57,38.2,S,90.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB02,53.3128888888889,-6.26252777777778,2022-08-14,12:41:38,217.6,28.7,LPS2225,2203705,50,24.3,60.3,32.2,S,300.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB03,53.3128888888889,-6.26252777777778,2022-08-12,12:45:44,118.9,27.9,LPS2225,2303604,38.5,18,39.6,34.3,NW,850.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB03,53.3128888888889,-6.26252777777778,2022-08-13,12:39:15,104.5,27.4,LPS2225,2203604,37.3,18.3,57,38.2,NW,300.0,Sun flecks,Reltively healthy,Moved leaf horizontally
Carpinus betulus,CB03,53.3128888888889,-6.26252777777778,2022-08-14,12:43:27,106.4,28.5,LPS2225,2203705,37.8,18.3,60.3,32.2,NW,140.0,Was full sun but weather changed to overcast during readings.,Reltively healthy,Moved leaf horizontally
Castanea sativa,CS01,53.3128611111111,-6.26258333333333,2022-08-12,12:49:02,239.6,27.6,LPS2225,2303604,51.4,25.2,54.7,24.3,SE,47.0,Sun flecks,Healthy,Moved leaf horizontally
Castanea sativa,CS01,53.3128611111111,-6.26258333333333,2022-08-13,12:44:31,247.5,27.6,LPS2225,2203604,51.1,24.2,65.5,24.5,SE,25.0,Sun flecks,Healthy,"Moved leaf slightly horizontally, breezy"
Castanea sativa,CS01,53.3128611111111,-6.26258333333333,2022-08-14,12:45:38,176.7,28.4,LPS2225,2203705,47.1,23.3,63.5,25.6,SE,46.0,Sun flecks,Healthy,Not moved
Castanea sativa,CS02,53.3128611111111,-6.26258333333333,2022-08-12,12:51:24,216.2,26.7,LPS2225,2303604,49.1,23.5,54.8,24.3,S,40.0,Sun flecks,Healthy,Moved leaf horizontally
Castanea sativa,CS02,53.3128611111111,-6.26258333333333,2022-08-13,12:46:30,214.3,26.8,LPS2225,2203604,49.3,23.8,66.4,24.5,S,50.0,Sun flecks,Healthy,"Moved leaf horizontally, breezy"
Castanea sativa,CS02,53.3128611111111,-6.26258333333333,2022-08-14,12:49:18,237.7,27.6,LPS2225,2203705,51.7,25.4,63.5,25.6,S,65.0,Overcast,Healthy,Moved leaf slightly horizontally
Castanea sativa,CS03,53.3128611111111,-6.26258333333333,2022-08-12,12:53:52,110.2,25.9,LPS2225,2303604,37.9,18.2,55.1,24.3,SE,142.0,Sun flecks,Healthy,Moved leaf horizontally
Castanea sativa,CS03,53.3128611111111,-6.26258333333333,2022-08-13,12:48:30,102.8,26.1,LPS2225,2203604,37.1,18.1,66.2,24,SE,80.0,Sun flecks,Healthy,"Moved leaf horizontally, breezy"
Castanea sativa,CS03,53.3128611111111,-6.26258333333333,2022-08-14,12:51:11,114.1,27.3,LPS2225,2203705,39.5,19.5,63.5,25.6,SE,22.0,Sun flecks,Healthy,Moved leaf slightly horizontally
